Date,Open,High,Low,Close,Volume,WMA,EMA12,EMA26,MACD_LINE,SIGNAL_LINE,MACD_HISTOGRAMS,RSI,TWAP_10,AR,ATR,SVMA_20,returns
1993-04-23,2.4375,2.4375,2.34375,2.40625,16484800,,,,,,,,,,,,
1993-04-26,2.375,2.40625,2.34375,2.34375,3334400,,,,,,,,,0.0625,0.0625,,-0.025974025974025976
1993-04-27,2.375,2.375,2.28125,2.3125,2046400,,,,,,,,,0.09375,0.06473214285714286,,-0.013333333333333334
1993-04-28,2.34375,2.34375,2.28125,2.28125,897600,,,,,,,,,0.0625,0.09151785714285714,,-0.013513513513513514
1993-04-29,2.28125,2.34375,2.28125,2.3125,844800,,,,,,,,,0.0625,0.0625,,0.0136986301369863
1993-04-30,2.34375,2.40625,2.3125,2.34375,1180800,,,,,,,,,0.09375,0.06473214285714286,,0.013513513513513514
1993-05-03,2.40625,2.40625,2.3125,2.34375,623200,,,,,,,,,0.09375,0.09375,,0.0
1993-05-04,2.375,2.40625,2.3125,2.375,555200,,,,,,,,,0.09375,0.09375,,0.013333333333333334
1993-05-05,2.375,2.4375,2.375,2.4375,900800,,,,,,,,,0.0625,0.09151785714285714,,0.02631578947368421
1993-05-06,2.4375,2.46875,2.375,2.453125,635200,2.3755681818181817,,,,,,,2.365234375,0.09375,0.06473214285714286,,0.00641025641025641
1993-05-07,2.40625,2.46875,2.40625,2.40625,170400,2.383806818181818,,,,,,50.0,2.366796875,0.0625,0.09151785714285714,,-0.01910828025477707
1993-05-10,2.46875,2.5,2.40625,2.4375,438400,2.397727272727273,2.4375,,,,,65.0,2.375390625,0.09375,0.06473214285714286,,0.012987012987012988
1993-05-11,2.4375,2.53125,2.4375,2.46875,312800,2.415625,2.4423076923076925,,,,,75.0,2.388671875,0.09375,0.09375,,0.01282051282051282
1993-05-12,2.5,2.53125,2.4375,2.53125,907200,2.4420454545454544,2.4559911242603554,,,,,86.36363636363636,2.407421875,0.09375,0.09375,,0.02531645569620253
1993-05-13,2.53125,2.59375,2.46875,2.59375,608000,2.4752840909090907,2.47718479745107,,,,,87.5,2.431640625,0.125,0.09598214285714286,,0.024691358024691357
1993-05-14,2.59375,2.78125,2.53125,2.734375,774400,2.5289772727272726,2.5167525209201362,,,,,90.3225806451613,2.4625,0.25,0.13392857142857142,,0.05421686746987952
1993-05-17,2.78125,2.78125,2.625,2.6875,349600,2.5670454545454544,2.5430213638555,,,,,82.3529411764706,2.49765625,0.15625,0.24330357142857142,,-0.017142857142857144
1993-05-18,2.625,2.6875,2.59375,2.65625,555200,2.5931818181818183,2.560441154031577,,,,,76.47058823529412,2.525,0.09375,0.15178571428571427,,-0.011627906976744186
1993-05-19,2.65625,2.65625,2.5625,2.609375,408800,2.605681818181818,2.5679694380267186,,,,,66.66666666666666,2.546484375,0.09375,0.09375,,-0.01764705882352941
1993-05-20,2.625,2.625,2.5625,2.5625,428000,2.606534090909091,2.567127986022608,,,,,60.0,2.5625,0.0625,0.09151785714285714,1622800.0,-0.017964071856287425
1993-05-21,2.5625,2.625,2.5625,2.59375,144000,2.6110795454545452,2.5712236804806685,,,,,67.64705882352942,2.57890625,0.0625,0.0625,805760.0,0.012195121951219513
1993-05-24,2.625,2.625,2.5625,2.5625,16800,2.606534090909091,2.5698815757913347,,,,,61.76470588235294,2.59296875,0.0625,0.0625,639880.0,-0.012048192771084338
1993-05-25,2.5625,2.625,2.5625,2.59375,62400,2.6053977272727273,2.5735536410542066,,,,,61.76470588235294,2.6046875,0.0625,0.0625,540680.0,0.012195121951219513
1993-05-26,2.625,2.625,2.5625,2.5625,206400,2.596306818181818,2.571853080892021,,,,,53.125,2.6140625,0.0625,0.0625,506120.0,-0.012048192771084338
1993-05-27,2.59375,2.625,2.5625,2.625,196800,2.5980113636363638,2.580029529985556,,,,,53.125,2.61953125,0.0625,0.0625,473720.0,0.024390243902439025
1993-05-28,2.625,2.65625,2.5625,2.65625,175200,2.6048295454545456,2.5917557561416245,2.65625,-0.06449424385837554,,,39.99999999999999,2.616015625,0.09375,0.06473214285714286,423440.0,0.011904761904761904
1993-06-01,2.65625,2.75,2.65625,2.65625,525600,2.613068181818182,2.6016779475044514,2.65625,-0.05457205249554864,,,45.45454545454546,2.612109375,0.09375,0.09375,418560.0,0.0
1993-06-02,2.71875,2.78125,2.65625,2.78125,302400,2.6446022727272727,2.629304417119151,2.6655092592592595,-0.03620484214010844,,,64.28571428571428,2.621484375,0.125,0.09598214285714286,405920.0,0.047058823529411764
1993-06-03,2.8125,2.8125,2.75,2.8125,341600,2.6795454545454547,2.6574883529469737,2.6763974622770923,-0.01890910933011858,,,74.07407407407408,2.6390625,0.0625,0.12053571428571429,377960.0,0.011235955056179775
1993-06-04,2.8125,2.8125,2.75,2.75,86400,2.699431818181818,2.671720914032055,2.681849502108419,-0.010128588076363965,,,71.42857142857143,2.6578125,0.0625,0.0625,350520.0,-0.022222222222222223
1993-06-07,2.8125,2.8125,2.75,2.8125,288000,2.727272727272727,2.693379234950201,2.6915273167670546,0.0018519181831462284,,,73.33333333333333,2.67890625,0.0625,0.0625,356400.0,0.022727272727272728
1993-06-08,2.8125,2.8125,2.75,2.8125,616800,2.7511363636363635,2.7117055064963234,2.7004882562657913,0.011217250230532105,,,78.57142857142857,2.69921875,0.0625,0.0625,365320.0,0.0
1993-06-09,2.75,2.8125,2.75,2.8125,96800,2.7704545454545455,2.727212351650735,2.7087854224683254,0.018426929182409513,,,76.92307692307693,2.71875,0.0625,0.0625,354520.0,0.0
1993-06-10,2.78125,2.90625,2.78125,2.84375,1295200,2.7914772727272728,2.745141220627545,2.718782798581783,0.026358422045761998,,,84.61538461538461,2.7421875,0.125,0.06696428571428571,373920.0,0.011111111111111112
1993-06-11,2.875,2.90625,2.84375,2.875,213600,2.8130681818181817,2.7651194943771538,2.7303544431312803,0.03476505124587348,0.03476505124587348,0.0,83.33333333333333,2.76953125,0.0625,0.12053571428571429,354200.0,0.01098901098901099
