Date,Open,High,Low,Close,Volume,WMA,EMA12,EMA26,MACD_LINE,SIGNAL_LINE,MACD_HISTOGRAMS,RSI,TWAP_10,AR,ATR,SVMA_20,returns
1992-02-26,7.125,8.25,6.875,7.875,11616800,,,,,,,,,,,,
1992-02-27,8.0625,8.0625,7.6875,7.78125,1918400,,,,,,,,,0.375,0.375,,-0.011904761904761904
1992-02-28,7.8125,7.9375,7.5625,7.6875,1387200,,,,,,,,,0.375,0.375,,-0.012048192771084338
1992-03-02,7.625,8.0625,7.5625,7.9375,1206000,,,,,,,,,0.5,0.38392857142857145,,0.032520325203252036
1992-03-03,7.9375,8.0625,7.875,8.0,222800,,,,,,,,,0.1875,0.47767857142857145,,0.007874015748031496
1992-03-04,8.0,8.0,7.6875,7.75,596000,,,,,,,,,0.3125,0.19642857142857142,,-0.03125
1992-03-05,7.6875,7.75,7.5625,7.6875,1759200,,,,,,,,,0.1875,0.30357142857142855,,-0.008064516129032258
1992-03-06,7.625,7.9375,7.625,7.75,297200,,,,,,,,,0.3125,0.19642857142857142,,0.008130081300813009
1992-03-09,7.8125,8.1875,7.8125,8.0,659600,,,,,,,,,0.4375,0.32142857142857145,,0.03225806451612903
1992-03-10,8.0,8.25,7.9375,8.1875,698400,7.898863636363636,,,,,,,7.82578125,0.3125,0.42857142857142855,,0.0234375
1992-03-11,8.3125,8.3125,8.0625,8.0625,274400,7.934659090909091,,,,,,56.52173913043478,7.89140625,0.25,0.3080357142857143,,-0.015267175572519083
1992-03-12,8.0625,8.3125,8.0625,8.1875,519600,7.989772727272728,8.1875,,,,,63.829787234042556,7.9171875,0.25,0.25,,0.015503875968992248
1992-03-13,8.125,8.5,8.125,8.4375,233200,8.082954545454545,8.225961538461538,,,,,73.07692307692308,7.971875,0.375,0.25892857142857145,,0.030534351145038167
1992-03-16,8.375,8.4375,8.125,8.125,372800,8.105681818181818,8.21042899408284,,,,,55.55555555555556,8.01875,0.3125,0.3705357142857143,,-0.037037037037037035
1992-03-17,8.1875,8.28125,8.1875,8.1875,172000,8.136363636363637,8.206901456531634,,,,,55.55555555555556,8.04296875,0.15625,0.3013392857142857,,0.007692307692307693
1992-03-18,8.1875,8.4375,8.1875,8.3125,147600,8.186363636363636,8.223147386295999,,,,,68.0,8.08515625,0.25,0.16294642857142858,,0.015267175572519083
1992-03-19,8.5,8.6875,8.375,8.5625,613600,8.271590909090909,8.275355480712,,,,,75.0,8.17109375,0.375,0.25892857142857145,,0.03007518796992481
1992-03-20,8.6875,8.8125,8.625,8.75,181200,8.375,8.348377714448615,,,,,76.66666666666666,8.26953125,0.25,0.36607142857142855,,0.021897810218978103
1992-03-23,8.8125,8.8125,8.5625,8.75,51600,8.460227272727273,8.410165758379597,,,,,73.07692307692308,8.34765625,0.25,0.25,,0.0
1992-03-24,8.625,8.6875,8.5625,8.625,88000,8.50909090909091,8.443217180167352,,,,,64.0,8.40078125,0.1875,0.24553571428571427,1150780.0,-0.014285714285714285
1992-03-25,8.5625,8.6875,8.5625,8.65625,230000,8.555681818181819,8.475991460141605,,,,,70.2127659574468,8.44375,0.125,0.18303571428571427,581440.0,0.0036231884057971015
1992-03-26,8.6875,8.6875,8.3125,8.3125,556400,8.528977272727273,8.450838927812127,,,,,53.70370370370371,8.478125,0.375,0.14285714285714285,513340.0,-0.039711191335740074
1992-03-27,8.25,8.4375,7.875,7.875,251600,8.420454545454545,8.362248323533338,,,,,35.0,8.459375,0.5625,0.38839285714285715,456560.0,-0.05263157894736842
1992-03-30,7.875,8.0625,7.875,8.0,188400,8.344886363636364,8.306517812220516,,,,,46.2962962962963,8.428125,0.1875,0.5357142857142857,405680.0,0.015873015873015872
1992-03-31,7.9375,8.0625,7.9375,8.0,210000,8.271590909090909,8.259361225725051,,,,,44.23076923076923,8.40546875,0.125,0.18303571428571427,405040.0,0.0
1992-04-01,7.9375,7.9375,7.5,7.59375,272400,8.127840909090908,8.156959498690428,7.59375,0.5632094986904281,,,31.14754098360656,8.3515625,0.5,0.15178571428571427,388860.0,-0.05078125
1992-04-02,7.5,7.625,7.3125,7.5,416000,7.980113636363637,8.055888806584209,7.586805555555555,0.46908325102865334,,,19.64285714285714,8.246875,0.3125,0.48660714285714285,321700.0,-0.012345679012345678
1992-04-03,7.3125,7.5,7.25,7.5,574400,7.851704545454545,7.9703674517250995,7.580375514403292,0.3899919373218079,,,10.0,8.1140625,0.25,0.3080357142857143,335560.0,0.0
1992-04-06,7.4375,7.6875,7.4375,7.5625,588800,7.757386363636364,7.907618612998161,7.57905140222527,0.3285672107728912,,,13.461538461538453,7.99375,0.25,0.25,332020.0,0.008333333333333333
