Date,Open,High,Low,Close,Volume,WMA,EMA12,EMA26,MACD_LINE,SIGNAL_LINE,MACD_HISTOGRAMS,RSI,TWAP_10,AR,ATR,SVMA_20,returns
1991-07-24,4.5625,4.625,4.5,4.5,2001000,,,,,,,,,,,,
1991-07-25,4.5,4.625,4.5,4.5625,314600,,,,,,,,,0.125,0.125,,0.013888888888888888
1991-07-26,4.625,4.625,4.5,4.5,2001000,,,,,,,,,0.125,0.125,,-0.0136986301369863
1991-07-29,4.625,4.625,4.5,4.625,75400,,,,,,,,,0.125,0.125,,0.027777777777777776
1991-07-30,4.625,4.625,4.5,4.5,354400,,,,,,,,,0.125,0.125,,-0.02702702702702703
1991-07-31,4.625,4.625,4.5,4.5,372000,,,,,,,,,0.125,0.125,,0.0
1991-08-01,4.5,4.5625,4.5,4.5,157000,,,,,,,,,0.0625,0.12053571428571429,,0.0
1991-08-02,4.625,4.625,4.5625,4.5625,220800,,,,,,,,,0.125,0.06696428571428571,,0.013888888888888888
1991-08-05,4.625,4.625,4.5,4.625,103800,,,,,,,,,0.125,0.125,,0.0136986301369863
1991-08-06,4.5625,4.625,4.5625,4.625,124600,4.5636363636363635,,,,,,,4.5671875,0.0625,0.12053571428571429,,0.0
1991-08-07,4.625,4.625,4.5,4.5,222400,4.554545454545455,,,,,,50.0,4.56875,0.125,0.06696428571428571,,-0.02702702702702703
1991-08-08,4.625,4.625,4.5,4.5625,97000,4.556818181818182,4.5625,,,,,50.0,4.571875,0.125,0.125,,0.013888888888888888
1991-08-09,4.5,4.625,4.5,4.5,172000,4.547727272727273,4.552884615384615,,,,,50.0,4.56875,0.125,0.125,,-0.0136986301369863
1991-08-12,4.5,4.625,4.5,4.5,41600,4.538636363636364,4.544748520710058,,,,,37.5,4.5625,0.125,0.125,,0.0
1991-08-13,4.625,4.625,4.5,4.5,63000,4.531818181818182,4.537864132908511,,,,,50.0,4.5625,0.125,0.125,,0.0
1991-08-14,4.625,4.625,4.5625,4.625,102200,4.547727272727273,4.551269650922586,,,,,62.50000000000001,4.5671875,0.125,0.125,,0.027777777777777776
1991-08-15,4.5,4.625,4.5,4.5,31800,4.538636363636364,4.54338201231911,,,,,50.0,4.56875,0.125,0.125,,-0.02702702702702703
1991-08-16,4.625,4.625,4.5,4.5,69800,4.529545454545454,4.536707856577709,,,,,44.44444444444444,4.565625,0.125,0.125,,0.0
1991-08-19,4.4375,4.5,4.1875,4.375,75400,4.4988636363636365,4.511829724796523,,,,,30.0,4.54375,0.3125,0.13839285714285715,,-0.027777777777777776
1991-08-20,4.375,4.4375,4.25,4.375,57800,4.472727272727273,4.4907789979047505,,,,,30.0,4.5203125,0.1875,0.30357142857142855,332880.0,0.0
1991-08-21,4.4375,4.4375,4.3125,4.4375,14000,4.4625,4.4825822289963275,,,,,44.44444444444444,4.5046875,0.125,0.18303571428571427,233530.0,0.014285714285714285
1991-08-22,4.4375,4.5,4.3125,4.375,41400,4.442045454545455,4.466031116843046,,,,,33.33333333333333,4.4875,0.1875,0.12946428571428573,219870.0,-0.014084507042253521
1991-08-23,4.5,4.5,4.3125,4.3125,17000,4.413636363636364,4.442410945021039,,,,,33.33333333333333,4.475,0.1875,0.1875,120670.0,-0.014285714285714285
1991-08-26,4.5,4.5625,4.3125,4.5625,77600,4.4340909090909095,4.460886184248571,,,,,53.846153846153854,4.4703125,0.25,0.19196428571428573,120780.0,0.057971014492753624
1991-08-27,4.5625,4.6875,4.5,4.625,72600,4.464772727272727,4.4861344635949445,,,,,57.14285714285714,4.4734375,0.1875,0.24553571428571427,106690.0,0.0136986301369863
1991-08-28,4.625,4.6875,4.5,4.6875,73400,4.504545454545455,4.51711377688803,4.6875,-0.17038622311197038,,,53.846153846153854,4.475,0.1875,0.1875,91760.0,0.013513513513513514
1991-08-29,4.6875,4.9375,4.5625,4.9375,178000,4.588636363636364,4.5817885804437175,4.706018518518518,-0.12422993807480065,,,73.33333333333333,4.5,0.375,0.20089285714285715,92810.0,0.05333333333333334
1991-08-30,4.9375,5.1875,4.8125,5.1875,145800,4.7102272727272725,4.6749749526831454,4.741683813443073,-0.06670886075992755,,,78.94736842105263,4.546875,0.375,0.375,89060.0,0.05063291139240506
1991-09-03,5.1875,5.5,5.125,5.125,326200,4.807954545454545,4.744209575347277,4.770077605039883,-0.02586802969260571,,,83.33333333333333,4.6328125,0.375,0.375,100180.0,-0.012048192771084338
1991-09-04,5.125,5.25,5.0,5.0,139000,4.869318181818182,4.783561948370773,4.787108893555447,-0.003546945184674577,,,75.0,4.70625,0.25,0.36607142857142855,100900.0,-0.024390243902439025
1991-09-05,5.0,5.1875,5.0,5.0,145000,4.9193181818181815,4.816860110159885,4.802878605143933,0.013981505015951967,,,73.68421052631578,4.7703125,0.1875,0.24553571428571427,97030.0,0.0
1991-09-06,5.125,5.125,5.0,5.0,35800,4.959090909090909,4.845035477827595,4.817480189948086,0.027555287879508228,,,77.77777777777777,4.8359375,0.125,0.18303571428571427,93970.0,0.0
1991-09-09,5.0,5.125,4.875,4.875,33800,4.964772727272727,4.849645404315657,4.821740916618598,0.02790448769705911,,,73.68421052631578,4.8921875,0.25,0.13392857142857142,87060.0,-0.025
1991-09-10,5.0625,5.0625,4.875,5.0625,30200,4.994318181818182,4.882392265190171,4.8395749227949985,0.042817342395172986,,,72.22222222222223,4.9453125,0.1875,0.24553571428571427,86490.0,0.038461538461538464
